commande	1_graph	8_frantfreqparm
1063	endroit	66.16
1064	dernières	66.13
1065	confiance	66
1066	opérations	65.84
1067	faux	65.81
1068	mode	65.81
1069	suffit	65.74
1070	étranger	65.68
1071	permis	65.61
1072	robe	65.48
1073	résistance	65.26
1074	supérieur	65.13
1075	appel	65.1
1076	extrême	65.1
1077	nombreuses	65.03
1078	oncle	65
1079	feuilles	64.97
1080	vin	64.97
1081	cru	64.81
1082	oreille	64.81
1083	jeunesse	64.77
1084	auraient	64.74
1085	étoiles	64.71
1086	hier	64.68
1087	arbre	64.61
1088	continue	64.52
1089	jeux	64.52
1090	commerce	64.48
1091	moteur	64.42
1092	victoire	64.42
1093	cou	64.39
1094	paraissait	64.32
1095	ouvre	64.23
1096	phénomène	64.19
1097	politiques	64.19
1098	ouvert	64.13
1099	cartes	64.03
1100	police	63.94
1101	prenait	63.9
1102	armes	63.84
1103	épaule	63.77
1104	connais	63.68
1105	veille	63.61
1106	lesquels	63.55
1107	matériel	63.52
1108	mesures	63.52
1109	conduit	63.48
1110	gestes	63.48
1111	auteur	63.42
1112	mécanique	63.42
1113	vert	63.35
1114	décision	63.32
1115	besoins	63.29
1116	empire	63.26
1117	beauté	63.06
1118	pain	62.94
1119	longues	62.9
1120	anciens	62.71
1121	ouverte	62.61
1122	capable	62.58
1123	taille	62.58
1124	commune	62.45
1125	portait	62.39
1126	différence	62.35
1127	papa	62.35
1128	écoute	62.32
1129	éviter	62.32
1130	jaune	62.16
1131	siècles	62.13
1132	villes	62.1
1133	cherche	62
1134	grave	62
1135	arriver	61.97
1136	thomas	61.94
1137	terrain	61.87
1138	essentiel	61.84
1139	risque	61.77
1140	espoir	61.71
1141	autrement	61.68
1142	sable	61.68
1143	établissement	61.68
1144	lesquelles	61.55
1145	chaud	61.52
1146	date	61.52
1147	disant	61.48
1148	publics	61.48
1149	sciences	61.48
1150	telles	61.35
1151	appelait	61.26
1152	pont	61.16
1153	île	61.16
1154	couleurs	61.13
1155	arrête	61
1156	pensait	60.97
1157	sent	60.97
1158	règle	60.9
