id	word	frequency
1082	Alter	6
1083	Anfrage	6
1084	angekündigt	6
1085	Angriff	6
1086	Anmeldung	6
1087	Anschluss	6
1088	Anteil	6
1089	Antworten	6
1090	Anzahl	6
1091	Arbeitgeber	6
1092	aufgebaut	6
1093	aufgenommen	6
1094	Auflösung	6
1095	Aufstieg	6
1096	ausgesprochen	6
1097	ausschließlich	6
1098	Ausstellung	6
1099	Banken	6
1100	behandelt	6
1101	belohnt	6
1102	berücksichtigt	6
1103	bestätigt	6
1104	Besuch	6
1105	Betrieb	6
1106	bieten	6
1107	bis zu	6
1108	brach	6
1109	bringt	6
1110	Bundeswehr	6
1111	Bürgermeister	6
1112	Chancen	6
1113	Daher	6
1114	damals	6
1115	Daneben	6
1116	Dank	6
1117	daraufhin	6
1118	dargestellt	6
1119	davon	6
1120	dennoch	6
1121	Die Stadt	6
1122	dient	6
1123	Dokumente	6
1124	einfacher	6
1125	Einladung	6
1126	eng	6
1127	entschieden	6
1128	entsprechend	6
1129	entstanden	6
1130	erfolgte	6
1131	erfordert	6
1132	erfüllt	6
1133	ergibt	6
1134	erhoben	6
1135	Erlebnis	6
1136	erledigt	6
1137	erstellt	6
1138	Erwartungen	6
1139	europäischen	6
1140	fährt	6
1141	Fällen	6
1142	Familien	6
1143	fehlen	6
1144	Feuerwehr	6
1145	Finanzierung	6
1146	Folgen	6
1147	folgenden	6
1148	Frauen	6
1149	Führung	6
1150	Fußball	6
1151	gefährlich	6
1152	gefördert	6
1153	gefragt	6
1154	gelegt	6
1155	gelungen	6
1156	gemeinsam	6
1157	gemeinsame	6
1158	genau	6
1159	gesetzt	6
1160	gespielt	6
1161	Gespräche	6
1162	gesucht	6
1163	gewählt	6
1164	gewannen	6
1165	Gewinner	6
1166	gewisse	6
1167	Gleichzeitig	6
1168	Gott	6
1169	Größe	6
1170	größten	6
1171	Haben	6
1172	haben Sie	6
1173	Hamburg	6
1174	Handel	6
1175	hängt	6
1176	Hannover	6
1177	Hat	6
1178	hätte	6
1179	Häuser	6
1180	Herr	6
1181	hervor	6
1182	hohe	6
1183	höheren	6
1184	hören	6
1185	Humor	6
1186	Information	6
1187	Interessenten	6
1188	je	6
1189	jedem	6
1190	Job	6
1191	kennt	6
1192	klare	6
1193	kleiner	6
1194	kletterte	6
1195	klingt	6
1196	knapp	6
1197	komme	6
1198	Konzept	6
1199	kündigte	6
1200	Kündigung	6
1201	Kurs	6
1202	Lage	6
1203	lang	6
1204	leben	6
1205	lediglich	6
1206	legen	6
1207	lehnte	6
1208	Licht	6
1209	Lieferung	6
1210	Linie	6
1211	Links	6
1212	links	6
1213	Mädchen	6
1214	Manchmal	6
1215	Medien	6
1216	meinen	6
1217	Merkel	6
1218	Michael	6
1219	Minute	6
1220	Mio.	6
